id_product,name_product,url_product,brand,actual_price_item,old_price_item
632087,"Сыр Cheese Gallery Пармезан тертый хлопья 32%, 100г",https://online.metro-cc.ru/products/cheese-gallery-parmesan-flakes-100g,CHEESE GALLERY,262,259
447547,"Сыр Умалат Сулугуни 45%, 280г",https://online.metro-cc.ru/products/suluguni-umalat-45-280-g,УМАЛАТ,262,279
101073,"Сыр Unagrande Ricotta из свежего молока мягкий 50%, 500г",https://online.metro-cc.ru/products/syr-myagkij-unagrande-ricotta-iz-svezhego-moloka-50-500g,UNAGRANDE,259,409
223257,"Сыр President Greco рассольный 45%, 250г",https://online.metro-cc.ru/products/250g-syr-rassolnyy-45-president-greco-bzmzh,PRESIDENT,257,249
510982,"Сыр Dolce Пармезан твердый тертый, 150г",https://online.metro-cc.ru/products/parmezan-tertyj-dolce-150g-bzmzh,DOLCE,257,269
213130,"Сыр Кабош легкий кусок 30%, 180г",https://online.metro-cc.ru/products/180g-syr-legkiy-30-kabosh-kusok-bzmzh,КАБОШ,256,249
105441,"Сыр Cheese Gallery Гауда кусок 45%, 200г",https://online.metro-cc.ru/products/cheese-gallery-gauda-kusok-200g,CHEESE GALLERY,254,243
203772,"Сыр Viola чеддер нарезка 50%, 120г",https://online.metro-cc.ru/products/120g-syr-50-viola-chedder-narezka-bzmzh,VIOLA,252,229
89378,"Сыр Сваля легкий фасованный, 200г",https://online.metro-cc.ru/products/svalya-legkij-fasovannyj-200g-bzmzh,СВАЛЯ,249,249
119889,"METRO Chef Сыр Маасдам 45%, 150г",https://online.metro-cc.ru/products/150g-45-maasdam-metro-chef-narezka-bzmzh,METRO CHEF,249,209
235835,"Сыр тильзитер Labas Rytas 50%, 220г",https://online.metro-cc.ru/products/syr-tilziter-labas-rytas-50-220g,LABAS RYTAS,249,269
359435,"Сыр President Брынза 45%, 250г",https://online.metro-cc.ru/products/president-48-250g-bzmzh,PRESIDENT,249,249
235835,"Сыр тильзитер Labas Rytas 50%, 220г",https://online.metro-cc.ru/products/syr-tilziter-labas-rytas-50-220g,LABAS RYTAS,249,269
359435,"Сыр President Брынза 45%, 250г",https://online.metro-cc.ru/products/president-48-250g-bzmzh,PRESIDENT,249,249
276138,"Сыр Galbani Моцарелла Maxi рассольный 45%, 250г",https://online.metro-cc.ru/products/mocarella-galbani-maxi-250-g-bzmzh,GALBANI,249,339
119941,"METRO Chef Сыр Пармезан тертый 33%, 150г",https://online.metro-cc.ru/products/metro-chef-parmezan-tertyj-33-150-g-bzmzh,METRO CHEF,249,249
226209,"Сыр Киприно Гауда полутвердый 45%, 200г",https://online.metro-cc.ru/products/200g-syr-gauda-45-kiprino-kusok-bzmzh,КИПРИНО,246,219
226167,"Сыр плавленый President Маасдам 45%, 400г",https://online.metro-cc.ru/products/400g-plavlenyy-syr-45-president-maasdam-bzmzh,PRESIDENT,245,244
553286,"Продукт сырный Порховский МСЗ копченый 40%, ~1.3кг",https://online.metro-cc.ru/products/produkt-40-porhovskij-msz-kopchenyj-13kg,ПОРХОВСКИЙ МСЗ,242,229
547741,"Сыр Milkana GrandBlu Creamy с голубой плесенью, 100г",https://online.metro-cc.ru/products/milkana-grand-blu-creamy-100-g-bzmzh,GRANDBLU,239,259
118454,"Сыр Unagrande Кремчиз мягкий 70%, 200г",https://online.metro-cc.ru/products/200g-70-kremchiz-unagrande-bzmzh,UNAGRANDE,239,235
235841,"Сыр гауда Labas Rytas 45%, 220г",https://online.metro-cc.ru/products/syr-gauda-labas-rytas-45-220g,LABAS RYTAS,239,269
226207,"Сыр Киприно Гран-При твердый 50%, 150г",https://online.metro-cc.ru/products/150g-syr-gran-pri-50-kiprino-kusok-bzmzh,КИПРИНО,239,219
204111,"Сыр Viola Маасдам кусок 45%, 220г",https://online.metro-cc.ru/products/220g-syr-45-viola-maasdam-kusok-bzmzh,VIOLA,239,319
279224,"Сыр Galbani Боккончини Моцарелла мини 45%, 150г",https://online.metro-cc.ru/products/galbani-mocarella-mini-150g-bzmzh,GALBANI,239,229
666858,"Сыр Bridel Blue Cheese с голубой плесенью 51%, 100г",https://online.metro-cc.ru/products/bridel-blue-cheese-s-goluboj-51-100g,BRIDEL,239,299
95362,"Сырный продукт Green Idea Vegmozzarella Моцарелла тертый 24%, 200г",https://online.metro-cc.ru/products/rastitelnyj-mocarella-green-idea-24-200-g,GREEN IDEA,237,224
213128,"Сыр Кабош Kilt нарезка 45%, 125г",https://online.metro-cc.ru/products/125g-syr-kilt-45-kabosh-narezka-bzmzh,КАБОШ,237,237
32199,"Сыр Долголетие Чечил спагетти ассорти №1 45%, 150г",https://online.metro-cc.ru/products/chechil-spagetti-assorti-1-dolgoletie-45-150g,ДОЛГОЛЕТИЕ,233,207
217805,"Сыр Laime премиум 50%, 200г",https://online.metro-cc.ru/products/200g-syr-premium-50-laime-bzmzh,LAIME,233,229
516326,"Сыр Сиртаки Classic рассольный для греческого салата, 330г",https://online.metro-cc.ru/products/sirtaki-classic-dlya-grecheskogo-salata-330-g-bzmzh,СИРТАКИ,232,229
110756,"METRO Chef Сыр Камамбер 50%, 125г",https://online.metro-cc.ru/products/metro-chef-kamamber-50-125g,METRO CHEF,232,209
211344,"Сыр Columbus Маасдам копченый нарезка 45%, 125г",https://online.metro-cc.ru/products/125g-syr-maasdam-45-columbus-kopchenyy-narezka-bzmzh,COLUMBUS,232,199
655337,"Соус Ferore Инжир фруктово-пряный для сыра, 60г",https://online.metro-cc.ru/products/furore-inzhir-fruktovo-pryanyj-dlya-syra-60g,FERORE,229,254
211644,"Сыр Кабош Neerlander Gentle нарезка 50%, 125г",https://online.metro-cc.ru/products/125g-syr-50-kabosh-neerlander-gentle-nar-bzmzh,КАБОШ,229,229
105796,"Сыр Белебеевский Медовый 45%, 190г",https://online.metro-cc.ru/products/bmk-medovyj-45-190g,БЕЛЕБЕЕВСКИЙ,227,227
136300,"Сыр Аланталь полутвердый сливочный брусок 45%, 200г",https://online.metro-cc.ru/products/syr-atlantal-polutverdyy-slivochnyy-brusok-45-200g,АЛАНТАЛЬ,224,209
105798,"Сыр Белебеевский МК 45%, 190г",https://online.metro-cc.ru/products/belebeevskij-45-190g,БЕЛЕБЕЕВСКИЙ,224,226
533062,"Сыр Cheese Gallery Чеддер красный 50%, 150г",https://online.metro-cc.ru/products/cheese-gallery-chedder-krasnyj-narezka-45-150g-bzmzh,CHEESE GALLERY,222,216
223266,"METRO Chef Сыр маасдам 45%, 200г",https://online.metro-cc.ru/products/200g-syr-maasdam-45-metro-chef-bzmzh,METRO CHEF,219,219
632086,"Сыр Cheese Gallery Пармезан тертый гранулы 38%, 100г",https://online.metro-cc.ru/products/cheese-gallery-parmezan-38-tertyj-granuly-100g-bzmzh,CHEESE GALLERY,219,219
136299,"Сыр Аланталь полутвердый традиционный брусок 50%, 200г",https://online.metro-cc.ru/products/syr-atlantal-polutverdyy-traditsionnyy-brusok-50-200g,АЛАНТАЛЬ,219,209
